Name,lon,lat
aoi_1,2.1304911,41.3822118
aoi_1,2.1310061,41.3814712
aoi_1,2.1326798,41.3820186
aoi_1,2.1319931,41.38321
aoi_1,2.1329802,41.3838539
aoi_1,2.1333235,41.3844013
aoi_1,2.1328943,41.3848843
aoi_1,2.134053,41.3856893
aoi_1,2.1348684,41.3847233
aoi_1,2.1361988,41.3854639
aoi_1,2.1354263,41.3860435
aoi_1,2.1358126,41.3870094
aoi_1,2.1368425,41.3877821
aoi_1,2.1362846,41.3884261
aoi_1,2.1378296,41.3894564
aoi_1,2.1366709,41.3904545
aoi_1,2.128002,41.3882007
aoi_1,2.1275299,41.3854961
aoi_1,2.1287745,41.3858503
aoi_1,2.1294611,41.3857215
aoi_1,2.1299332,41.3845301
aoi_1,2.1290319,41.3840149
aoi_1,2.1293753,41.3830168
aoi_1,2.1299332,41.3827914
aoi_1,2.1304911,41.3822118
aoi_2,2.1446317,41.3932072
aoi_2,2.1449535,41.3929496
aoi_2,2.14549,41.3930784
aoi_2,2.1452969,41.3933198
aoi_2,2.1456831,41.3935935
aoi_2,2.1450608,41.3942374
aoi_2,2.1458762,41.3947847
aoi_2,2.1455973,41.39501
aoi_2,2.1465629,41.3956539
aoi_2,2.14549,41.3964265
aoi_2,2.1454685,41.3967163
aoi_2,2.1450823,41.397006
aoi_2,2.1449965,41.396829
aoi_2,2.1441167,41.3974084
aoi_2,2.1433013,41.3969094
aoi_2,2.1427434,41.3971509
aoi_2,2.1414989,41.39633
aoi_2,2.1417563,41.3960885
aoi_2,2.1413487,41.395831
aoi_2,2.1423357,41.3951066
aoi_2,2.1421855,41.394833
aoi_2,2.1428292,41.3946076
aoi_2,2.1423142,41.3941086
aoi_2,2.142679,41.3939476
aoi_2,2.1424001,41.3936579
aoi_2,2.1430223,41.3934003
aoi_2,2.1432584,41.3936579
aoi_2,2.1437519,41.3939637
aoi_2,2.1446317,41.3932072
aoi_3,2.1459191,41.3937384
aoi_3,2.1461337,41.3934325
aoi_3,2.1466916,41.3937867
aoi_3,2.1464985,41.3941408
aoi_3,2.1459191,41.3937384
aoi_4,2.1486013,41.394334
aoi_4,2.1488374,41.3939315
aoi_4,2.1495884,41.3941247
aoi_4,2.1498244,41.3943501
aoi_4,2.1495884,41.3945593
aoi_4,2.1496957,41.3947042
aoi_4,2.1492665,41.3948652
aoi_4,2.1488803,41.3945754
aoi_4,2.1486013,41.394334
aoi_5,2.1484511,41.3944305
aoi_5,2.1487301,41.394672
aoi_5,2.1484511,41.3948491
aoi_5,2.1481722,41.3946398
aoi_5,2.1484511,41.3944305
aoi_6,2.14814,41.3951147
aoi_6,2.1485906,41.3949215
aoi_6,2.1489125,41.3951147
aoi_6,2.1485477,41.3953722
aoi_6,2.14814,41.3951147
aoi_7,2.1505433,41.3966278
aoi_7,2.1505218,41.3962253
aoi_7,2.1509939,41.3959356
aoi_7,2.1514874,41.3955332
aoi_7,2.1518522,41.3953722
aoi_7,2.1522813,41.3956298
aoi_7,2.1520882,41.3953722
aoi_7,2.1523457,41.3949376
aoi_7,2.1535688,41.3952112
aoi_7,2.1532684,41.3957102
aoi_7,2.1535259,41.3958068
aoi_7,2.1530967,41.396177
aoi_7,2.1527105,41.3961127
aoi_7,2.1512728,41.3971428
aoi_7,2.1505433,41.3966278
aoi_8,2.1490984,41.3937242
aoi_8,2.1493559,41.393209
aoi_8,2.1496993,41.3933539
aoi_8,2.1499782,41.3932895
aoi_8,2.1512657,41.3921949
aoi_8,2.1519523,41.3926778
aoi_8,2.1518021,41.392871
aoi_8,2.1518236,41.3930964
aoi_8,2.1510726,41.3934827
aoi_8,2.1510082,41.3938046
aoi_8,2.1507721,41.3939495
aoi_8,2.1505361,41.3938207
aoi_8,2.1502142,41.3939978
aoi_8,2.1490984,41.3937242
aoi_9,2.1456223,41.3896675
aoi_9,2.1458798,41.3897802
aoi_9,2.145794,41.3900217
aoi_9,2.1454936,41.3901827
aoi_9,2.1453004,41.3899412
aoi_9,2.1456223,41.3896675
aoi_10,2.1527677,41.3945612
aoi_10,2.1527033,41.394368
aoi_10,2.1531754,41.3940783
aoi_10,2.1528321,41.3938851
aoi_10,2.1525102,41.3939495
aoi_10,2.1523171,41.3937242
aoi_10,2.1525746,41.3934827
aoi_10,2.1522742,41.3933539
aoi_10,2.1530467,41.3924203
aoi_10,2.1521669,41.3915993
aoi_10,2.1533256,41.3905046
aoi_10,2.1534544,41.3906334
aoi_10,2.1554285,41.3889753
aoi_10,2.1549993,41.3887821
aoi_10,2.154656,41.3890719
aoi_10,2.1543985,41.3888948
aoi_10,2.1543985,41.3885407
aoi_10,2.1534114,41.3878162
aoi_10,2.1539264,41.3873816
aoi_10,2.1547418,41.3879289
aoi_10,2.1549135,41.3877518
aoi_10,2.1547418,41.3876069
aoi_10,2.1553212,41.3873172
aoi_10,2.155407,41.3874782
aoi_10,2.1568876,41.3863029
aoi_10,2.1572738,41.3860453
aoi_10,2.1570807,41.3859327
aoi_10,2.1577673,41.3854336
aoi_10,2.1580463,41.3853531
aoi_10,2.1586042,41.3850311
aoi_10,2.1593981,41.3857878
aoi_10,2.1590977,41.3859971
aoi_10,2.1589904,41.3863512
aoi_10,2.1595483,41.3859488
aoi_10,2.160986,41.3870113
aoi_10,2.1607714,41.387285
aoi_10,2.1611147,41.3875908
aoi_10,2.1608143,41.3877357
aoi_10,2.1606641,41.3880577
aoi_10,2.1609216,41.3883475
aoi_10,2.1603852,41.3886373
aoi_10,2.159956,41.3888626
aoi_10,2.1596342,41.3888948
aoi_10,2.1593123,41.3890236
aoi_10,2.1597415,41.389249
aoi_10,2.1601706,41.3889753
aoi_10,2.160235,41.38941
aoi_10,2.1613079,41.3894261
aoi_10,2.161501,41.3896353
aoi_10,2.1619087,41.3893295
aoi_10,2.1631747,41.3901666
aoi_10,2.1630459,41.3906012
aoi_10,2.1645265,41.3896997
aoi_10,2.1661573,41.3907944
aoi_10,2.1667152,41.3913417
aoi_10,2.1671014,41.3911003
aoi_10,2.167552,41.3914383
aoi_10,2.1670585,41.3918086
aoi_10,2.1666079,41.3915349
aoi_10,2.1665221,41.3918086
aoi_10,2.1656423,41.3926939
aoi_10,2.1653848,41.393032
aoi_10,2.1651059,41.3929515
aoi_10,2.1648698,41.3931447
aoi_10,2.1651273,41.3933056
aoi_10,2.1653848,41.3931608
aoi_10,2.1656852,41.3934183
aoi_10,2.1654277,41.3936276
aoi_10,2.1657281,41.3940139
aoi_10,2.1660929,41.3942071
aoi_10,2.1656638,41.3944324
aoi_10,2.1651702,41.3949475
aoi_10,2.1654707,41.3953017
aoi_10,2.165063,41.3955592
aoi_10,2.1645265,41.3952373
aoi_10,2.1642261,41.3955753
aoi_10,2.1638184,41.3953339
aoi_10,2.1630674,41.394851
aoi_10,2.1624022,41.3955753
aoi_10,2.1621876,41.3958168
aoi_10,2.1617585,41.3957202
aoi_10,2.1612649,41.3960743
aoi_10,2.1604925,41.3956075
aoi_10,2.1600633,41.3959455
aoi_10,2.1596127,41.3956558
aoi_10,2.1592908,41.395849
aoi_10,2.1588402,41.3954787
aoi_10,2.1589261,41.39535
aoi_10,2.158454,41.3954304
aoi_10,2.1580034,41.3956397
aoi_10,2.1575313,41.3957846
aoi_10,2.1565443,41.3955753
aoi_10,2.1567159,41.3952212
aoi_10,2.1562009,41.3948671
aoi_10,2.1555787,41.3953017
aoi_10,2.1527677,41.3945612
aoi_11,2.1191766,41.4014646
aoi_11,2.1188547,41.4012875
aoi_11,2.1189835,41.4011105
aoi_11,2.1187689,41.4010139
aoi_11,2.1190693,41.4007564
aoi_11,2.1180822,41.4003701
aoi_11,2.1183397,41.400016
aoi_11,2.1188547,41.3996297
aoi_11,2.1199705,41.4003862
aoi_11,2.1203782,41.4000965
aoi_11,2.1193697,41.3994848
aoi_11,2.1197774,41.3987605
aoi_11,2.1211078,41.3994687
aoi_11,2.1215798,41.3989376
aoi_11,2.1216871,41.3982454
aoi_11,2.1221807,41.3977465
aoi_11,2.1225454,41.3975372
aoi_11,2.1214725,41.3970865
aoi_11,2.1223094,41.3963139
aoi_11,2.1221163,41.3961851
aoi_11,2.1227171,41.3958954
aoi_11,2.1225454,41.3957505
