in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
523.0,3.0,,,,17.0,2.0,1.0,1.0,1.0,,out,115.0
524.0,6.0,3.0,9.0,8.0,25.0,12.0,9.0,10.0,24.0,2.0,out,115.0
525.0,16.0,2.0,15.0,1.0,40.0,12.0,1.0,11.0,30.0,2.0,out,115.0
526.0,14.0,2.0,3.0,4.0,69.0,6.0,5.0,3.0,33.0,7.0,out,115.0
526.0,14.0,2.0,3.0,4.0,69.0,6.0,5.0,3.0,33.0,7.0,aoi_25,24.0
527.0,5.0,2.0,18.0,9.0,38.0,7.0,10.0,5.0,37.0,8.0,out,115.0
527.0,5.0,2.0,18.0,9.0,38.0,7.0,10.0,5.0,37.0,8.0,aoi_26,25.0
528.0,4.0,6.0,13.0,9.0,38.0,4.0,6.0,15.0,42.0,18.0,out,115.0
529.0,4.0,2.0,19.0,8.0,32.0,8.0,6.0,12.0,27.0,3.0,out,115.0
530.0,3.0,2.0,12.0,5.0,25.0,4.0,7.0,20.0,42.0,4.0,out,115.0
531.0,2.0,1.0,2.0,,5.0,3.0,,,5.0,,out,115.0
532.0,7.0,3.0,18.0,9.0,61.0,17.0,12.0,16.0,33.0,3.0,out,115.0
533.0,7.0,7.0,12.0,7.0,6.0,3.0,8.0,4.0,24.0,3.0,out,115.0
534.0,4.0,1.0,15.0,4.0,11.0,12.0,2.0,9.0,31.0,,out,115.0
535.0,10.0,3.0,22.0,7.0,20.0,7.0,21.0,34.0,25.0,3.0,out,115.0
536.0,4.0,2.0,10.0,4.0,19.0,20.0,5.0,8.0,25.0,5.0,out,115.0
537.0,2.0,1.0,10.0,4.0,14.0,4.0,1.0,13.0,15.0,3.0,out,115.0
538.0,1.0,1.0,4.0,1.0,,4.0,,4.0,7.0,,out,115.0
539.0,,,,,,,,4.0,,,out,115.0
551.0,,,,,,1.0,,,,,out,115.0
552.0,,,,,,,,,1.0,,out,115.0
553.0,,,,1.0,,,,3.0,3.0,1.0,out,115.0
554.0,,,,,,1.0,,,,,out,115.0
556.0,,,,,,,,,1.0,,out,115.0
561.0,,,,,,,,,3.0,,out,115.0
562.0,,,1.0,,,3.0,,,1.0,,out,115.0
563.0,1.0,,,,,,,,4.0,,out,115.0
564.0,2.0,,9.0,2.0,7.0,2.0,3.0,1.0,15.0,4.0,out,115.0
564.0,2.0,,9.0,2.0,7.0,2.0,3.0,1.0,15.0,4.0,aoi_15,14.0
565.0,1.0,,,,,7.0,1.0,,3.0,1.0,out,115.0
566.0,1.0,,2.0,1.0,4.0,1.0,,2.0,10.0,,out,115.0
567.0,3.0,,2.0,,8.0,4.0,,1.0,6.0,,out,115.0
568.0,,,,,,2.0,,,,,out,115.0
570.0,1.0,,2.0,,2.0,1.0,,1.0,3.0,,out,115.0
571.0,4.0,1.0,8.0,1.0,32.0,2.0,4.0,3.0,16.0,3.0,out,115.0
572.0,8.0,3.0,10.0,11.0,56.0,6.0,12.0,18.0,37.0,12.0,out,115.0
573.0,1.0,,4.0,2.0,9.0,6.0,,4.0,8.0,2.0,out,115.0
574.0,6.0,4.0,8.0,3.0,41.0,5.0,4.0,11.0,24.0,1.0,out,115.0
575.0,,,,,,,,,2.0,,out,115.0
576.0,10.0,,14.0,2.0,23.0,9.0,,4.0,13.0,5.0,out,115.0
577.0,11.0,5.0,17.0,6.0,39.0,4.0,12.0,18.0,35.0,9.0,out,115.0
577.0,11.0,5.0,17.0,6.0,39.0,4.0,12.0,18.0,35.0,9.0,aoi_26,25.0
578.0,4.0,6.0,15.0,4.0,20.0,2.0,19.0,13.0,66.0,6.0,aoi_26,25.0
578.0,4.0,6.0,15.0,4.0,20.0,2.0,19.0,13.0,66.0,6.0,out,115.0
579.0,4.0,2.0,5.0,4.0,28.0,7.0,1.0,3.0,34.0,6.0,out,115.0
580.0,7.0,3.0,19.0,7.0,37.0,12.0,11.0,17.0,61.0,3.0,out,115.0
581.0,2.0,1.0,9.0,1.0,21.0,8.0,5.0,5.0,19.0,2.0,out,115.0
582.0,4.0,3.0,12.0,5.0,2.0,9.0,2.0,6.0,19.0,3.0,out,115.0
583.0,5.0,1.0,9.0,2.0,14.0,7.0,9.0,10.0,23.0,,out,115.0
584.0,,1.0,6.0,3.0,3.0,8.0,3.0,7.0,9.0,1.0,out,115.0
585.0,2.0,,10.0,4.0,9.0,13.0,5.0,7.0,25.0,3.0,out,115.0
586.0,1.0,1.0,4.0,2.0,4.0,21.0,,,5.0,6.0,out,115.0
587.0,4.0,,2.0,3.0,4.0,19.0,,2.0,7.0,5.0,out,115.0
588.0,1.0,,7.0,1.0,5.0,5.0,2.0,5.0,8.0,2.0,out,115.0
589.0,6.0,6.0,19.0,8.0,15.0,7.0,13.0,20.0,40.0,1.0,out,115.0
590.0,,,1.0,,4.0,,,,,,out,115.0
606.0,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,7.0,,out,115.0
607.0,3.0,,1.0,,,,,,2.0,,out,115.0
609.0,,,1.0,,,,,,,,out,115.0
612.0,,,,,,,,,1.0,,out,115.0
613.0,,,,,,2.0,,,,,out,115.0
615.0,,,1.0,,,1.0,,,2.0,1.0,out,115.0
616.0,,,2.0,,,5.0,,,7.0,,out,115.0
617.0,3.0,2.0,13.0,2.0,6.0,5.0,3.0,8.0,38.0,1.0,aoi_15,14.0
617.0,3.0,2.0,13.0,2.0,6.0,5.0,3.0,8.0,38.0,1.0,out,115.0
618.0,11.0,6.0,11.0,8.0,33.0,6.0,27.0,24.0,65.0,5.0,aoi_15,14.0
618.0,11.0,6.0,11.0,8.0,33.0,6.0,27.0,24.0,65.0,5.0,out,115.0
619.0,2.0,3.0,4.0,4.0,6.0,1.0,2.0,6.0,13.0,4.0,out,115.0
620.0,4.0,,3.0,,4.0,5.0,,2.0,5.0,6.0,out,115.0
621.0,1.0,1.0,4.0,,11.0,2.0,,5.0,5.0,,out,115.0
622.0,8.0,1.0,3.0,,,7.0,1.0,2.0,4.0,1.0,out,115.0
623.0,3.0,2.0,2.0,,,9.0,2.0,2.0,4.0,1.0,out,115.0
624.0,6.0,1.0,7.0,4.0,19.0,6.0,3.0,4.0,27.0,1.0,out,115.0
625.0,9.0,4.0,18.0,4.0,29.0,3.0,25.0,17.0,47.0,6.0,out,115.0
626.0,6.0,1.0,11.0,6.0,47.0,6.0,7.0,14.0,30.0,9.0,out,115.0
627.0,8.0,,9.0,5.0,28.0,12.0,3.0,9.0,38.0,4.0,out,115.0
628.0,8.0,3.0,20.0,4.0,71.0,27.0,7.0,17.0,44.0,11.0,out,115.0
629.0,4.0,3.0,18.0,2.0,14.0,7.0,11.0,5.0,13.0,,out,115.0
629.0,4.0,3.0,18.0,2.0,14.0,7.0,11.0,5.0,13.0,,aoi_28,27.0
630.0,5.0,5.0,22.0,4.0,10.0,5.0,10.0,12.0,39.0,8.0,out,115.0
631.0,5.0,4.0,18.0,6.0,30.0,4.0,9.0,18.0,51.0,15.0,out,115.0
631.0,5.0,4.0,18.0,6.0,30.0,4.0,9.0,18.0,51.0,15.0,aoi_26,25.0
631.0,5.0,4.0,18.0,6.0,30.0,4.0,9.0,18.0,51.0,15.0,aoi_27,26.0
632.0,6.0,5.0,13.0,,15.0,5.0,7.0,11.0,29.0,7.0,out,115.0
633.0,3.0,1.0,19.0,3.0,31.0,10.0,7.0,13.0,43.0,6.0,out,115.0
634.0,8.0,4.0,22.0,9.0,33.0,6.0,10.0,18.0,50.0,6.0,out,115.0
635.0,7.0,3.0,12.0,6.0,12.0,14.0,13.0,12.0,33.0,3.0,out,115.0
636.0,2.0,1.0,5.0,,7.0,2.0,3.0,4.0,15.0,2.0,out,115.0
637.0,4.0,3.0,7.0,5.0,16.0,11.0,4.0,12.0,21.0,7.0,out,115.0
638.0,2.0,2.0,6.0,4.0,3.0,3.0,3.0,4.0,14.0,2.0,out,115.0
639.0,1.0,,2.0,,5.0,14.0,,,3.0,2.0,out,115.0
640.0,1.0,2.0,4.0,,7.0,23.0,,,6.0,1.0,out,115.0
641.0,,1.0,2.0,2.0,2.0,16.0,,,5.0,3.0,out,115.0
642.0,3.0,1.0,5.0,3.0,4.0,3.0,1.0,4.0,10.0,1.0,out,115.0
642.0,3.0,1.0,5.0,3.0,4.0,3.0,1.0,4.0,10.0,1.0,aoi_84,83.0
643.0,7.0,1.0,14.0,6.0,14.0,3.0,7.0,13.0,15.0,2.0,out,115.0
643.0,7.0,1.0,14.0,6.0,14.0,3.0,7.0,13.0,15.0,2.0,aoi_86,85.0
644.0,2.0,,2.0,,2.0,1.0,,1.0,,,out,115.0
651.0,,,,,,,,,1.0,,out,115.0
657.0,,,1.0,,,,,,,,out,115.0
659.0,,,,,,1.0,,,,,out,115.0
662.0,2.0,,3.0,,,,,,1.0,1.0,out,115.0
663.0,,,,,,,,,1.0,,out,115.0
665.0,,,,,,,,,1.0,,out,115.0
666.0,,,,,,4.0,,,1.0,,out,115.0
667.0,,,,,,1.0,,,1.0,,out,115.0
668.0,,,,,,5.0,,,5.0,,out,115.0
669.0,,,1.0,,1.0,5.0,1.0,,6.0,,out,115.0
670.0,4.0,5.0,8.0,5.0,12.0,3.0,13.0,11.0,24.0,6.0,out,115.0
670.0,4.0,5.0,8.0,5.0,12.0,3.0,13.0,11.0,24.0,6.0,aoi_15,14.0
671.0,10.0,3.0,13.0,8.0,29.0,1.0,11.0,4.0,44.0,4.0,out,115.0
671.0,10.0,3.0,13.0,8.0,29.0,1.0,11.0,4.0,44.0,4.0,aoi_15,14.0
672.0,,1.0,,,11.0,1.0,,1.0,9.0,1.0,out,115.0
673.0,4.0,3.0,3.0,2.0,18.0,2.0,2.0,4.0,19.0,,out,115.0
674.0,9.0,5.0,11.0,7.0,11.0,6.0,10.0,18.0,29.0,8.0,out,115.0
675.0,9.0,3.0,9.0,4.0,17.0,6.0,11.0,31.0,36.0,6.0,out,115.0
676.0,9.0,2.0,10.0,2.0,8.0,5.0,8.0,7.0,21.0,3.0,out,115.0
677.0,6.0,8.0,12.0,6.0,21.0,13.0,6.0,13.0,38.0,4.0,out,115.0
678.0,7.0,7.0,18.0,3.0,12.0,15.0,11.0,8.0,48.0,7.0,out,115.0
678.0,7.0,7.0,18.0,3.0,12.0,15.0,11.0,8.0,48.0,7.0,aoi_39,38.0
679.0,9.0,10.0,22.0,12.0,18.0,4.0,36.0,71.0,74.0,7.0,out,115.0
680.0,6.0,5.0,12.0,5.0,40.0,16.0,1.0,11.0,26.0,15.0,out,115.0
681.0,5.0,,15.0,4.0,33.0,18.0,,6.0,37.0,3.0,out,115.0
682.0,13.0,3.0,30.0,6.0,24.0,8.0,18.0,23.0,74.0,9.0,out,115.0
682.0,13.0,3.0,30.0,6.0,24.0,8.0,18.0,23.0,74.0,9.0,aoi_28,27.0
682.0,13.0,3.0,30.0,6.0,24.0,8.0,18.0,23.0,74.0,9.0,aoi_29,28.0
683.0,13.0,6.0,37.0,8.0,25.0,6.0,29.0,28.0,69.0,7.0,out,115.0
683.0,13.0,6.0,37.0,8.0,25.0,6.0,29.0,28.0,69.0,7.0,aoi_29,28.0
684.0,7.0,4.0,23.0,9.0,26.0,5.0,1.0,11.0,49.0,7.0,out,115.0
685.0,10.0,9.0,30.0,8.0,38.0,9.0,17.0,22.0,57.0,7.0,out,115.0
685.0,10.0,9.0,30.0,8.0,38.0,9.0,17.0,22.0,57.0,7.0,aoi_27,26.0
686.0,11.0,5.0,30.0,19.0,20.0,15.0,32.0,33.0,64.0,4.0,out,115.0
687.0,8.0,3.0,21.0,9.0,42.0,15.0,15.0,18.0,30.0,6.0,out,115.0
687.0,8.0,3.0,21.0,9.0,42.0,15.0,15.0,18.0,30.0,6.0,aoi_32,31.0
688.0,3.0,1.0,4.0,,34.0,12.0,1.0,1.0,8.0,2.0,out,115.0
689.0,5.0,1.0,17.0,3.0,12.0,10.0,2.0,11.0,31.0,2.0,out,115.0
690.0,,1.0,3.0,2.0,7.0,10.0,,1.0,7.0,6.0,out,115.0
691.0,2.0,1.0,5.0,5.0,9.0,13.0,1.0,1.0,13.0,12.0,out,115.0
692.0,3.0,3.0,7.0,1.0,19.0,1.0,1.0,3.0,9.0,1.0,out,115.0
693.0,4.0,4.0,11.0,,18.0,9.0,,3.0,10.0,3.0,out,115.0
694.0,3.0,1.0,7.0,1.0,9.0,17.0,4.0,7.0,11.0,4.0,out,115.0
695.0,2.0,1.0,4.0,1.0,9.0,4.0,1.0,3.0,11.0,,out,115.0
695.0,2.0,1.0,4.0,1.0,9.0,4.0,1.0,3.0,11.0,,aoi_84,83.0
696.0,4.0,7.0,35.0,3.0,1.0,,73.0,14.0,26.0,1.0,aoi_86,85.0
696.0,4.0,7.0,35.0,3.0,1.0,,73.0,14.0,26.0,1.0,out,115.0
697.0,,,12.0,2.0,,2.0,12.0,1.0,4.0,1.0,aoi_86,85.0
711.0,,,,,,2.0,,,,,out,115.0
713.0,,,,,,1.0,,,3.0,,out,115.0
714.0,,,1.0,,,,,,1.0,,out,115.0
715.0,,,,,,,,,7.0,,out,115.0
716.0,,1.0,1.0,,,2.0,,1.0,6.0,,out,115.0
717.0,,,,,,6.0,,,4.0,,out,115.0
718.0,,,2.0,,,2.0,,1.0,9.0,,out,115.0
719.0,3.0,4.0,12.0,4.0,7.0,5.0,11.0,10.0,38.0,2.0,aoi_13,12.0
719.0,3.0,4.0,12.0,4.0,7.0,5.0,11.0,10.0,38.0,2.0,out,115.0
720.0,5.0,8.0,8.0,7.0,23.0,7.0,9.0,20.0,65.0,4.0,out,115.0
720.0,5.0,8.0,8.0,7.0,23.0,7.0,9.0,20.0,65.0,4.0,aoi_13,12.0
720.0,5.0,8.0,8.0,7.0,23.0,7.0,9.0,20.0,65.0,4.0,aoi_14,13.0
721.0,1.0,6.0,10.0,7.0,17.0,6.0,7.0,7.0,28.0,1.0,aoi_13,12.0
721.0,1.0,6.0,10.0,7.0,17.0,6.0,7.0,7.0,28.0,1.0,out,115.0
722.0,2.0,1.0,7.0,1.0,15.0,,1.0,1.0,16.0,1.0,out,115.0
723.0,3.0,2.0,5.0,4.0,39.0,5.0,1.0,4.0,32.0,1.0,out,115.0
724.0,3.0,1.0,7.0,1.0,5.0,8.0,4.0,4.0,18.0,3.0,out,115.0
725.0,7.0,4.0,8.0,3.0,13.0,14.0,4.0,15.0,22.0,2.0,out,115.0
726.0,6.0,8.0,19.0,6.0,8.0,8.0,6.0,7.0,39.0,7.0,out,115.0
727.0,9.0,10.0,34.0,6.0,41.0,18.0,11.0,22.0,61.0,7.0,out,115.0
728.0,14.0,7.0,21.0,7.0,18.0,3.0,23.0,23.0,49.0,13.0,aoi_39,38.0
728.0,14.0,7.0,21.0,7.0,18.0,3.0,23.0,23.0,49.0,13.0,out,115.0
729.0,2.0,7.0,10.0,4.0,21.0,10.0,14.0,14.0,50.0,4.0,out,115.0
729.0,2.0,7.0,10.0,4.0,21.0,10.0,14.0,14.0,50.0,4.0,aoi_39,38.0
730.0,5.0,8.0,20.0,12.0,15.0,14.0,11.0,20.0,54.0,13.0,out,115.0
731.0,5.0,2.0,27.0,7.0,21.0,9.0,15.0,17.0,48.0,9.0,aoi_29,28.0
731.0,5.0,2.0,27.0,7.0,21.0,9.0,15.0,17.0,48.0,9.0,out,115.0
731.0,5.0,2.0,27.0,7.0,21.0,9.0,15.0,17.0,48.0,9.0,aoi_30,29.0
732.0,11.0,11.0,38.0,10.0,20.0,2.0,38.0,36.0,73.0,10.0,aoi_29,28.0
732.0,11.0,11.0,38.0,10.0,20.0,2.0,38.0,36.0,73.0,10.0,out,115.0
733.0,11.0,9.0,33.0,15.0,53.0,14.0,34.0,76.0,72.0,8.0,aoi_29,28.0
733.0,11.0,9.0,33.0,15.0,53.0,14.0,34.0,76.0,72.0,8.0,out,115.0
734.0,14.0,13.0,32.0,11.0,29.0,6.0,22.0,18.0,67.0,15.0,out,115.0
734.0,14.0,13.0,32.0,11.0,29.0,6.0,22.0,18.0,67.0,15.0,aoi_31,30.0
735.0,14.0,10.0,29.0,27.0,26.0,5.0,27.0,16.0,48.0,4.0,out,115.0
735.0,14.0,10.0,29.0,27.0,26.0,5.0,27.0,16.0,48.0,4.0,aoi_31,30.0
736.0,2.0,2.0,25.0,9.0,34.0,5.0,4.0,12.0,24.0,7.0,out,115.0
736.0,2.0,2.0,25.0,9.0,34.0,5.0,4.0,12.0,24.0,7.0,aoi_32,31.0
737.0,7.0,3.0,27.0,11.0,26.0,5.0,18.0,61.0,52.0,2.0,aoi_32,31.0
737.0,7.0,3.0,27.0,11.0,26.0,5.0,18.0,61.0,52.0,2.0,aoi_33,32.0
737.0,7.0,3.0,27.0,11.0,26.0,5.0,18.0,61.0,52.0,2.0,out,115.0
738.0,2.0,,24.0,5.0,16.0,19.0,14.0,11.0,21.0,2.0,out,115.0
738.0,2.0,,24.0,5.0,16.0,19.0,14.0,11.0,21.0,2.0,aoi_33,32.0
739.0,1.0,,7.0,,7.0,22.0,3.0,2.0,25.0,2.0,out,115.0
740.0,,2.0,2.0,,4.0,1.0,,4.0,9.0,,out,115.0
741.0,3.0,2.0,6.0,,3.0,5.0,1.0,,6.0,3.0,out,115.0
742.0,1.0,,12.0,1.0,25.0,10.0,2.0,2.0,19.0,7.0,out,115.0
743.0,2.0,,16.0,,2.0,8.0,,3.0,12.0,3.0,out,115.0
744.0,1.0,,11.0,,2.0,4.0,3.0,4.0,12.0,1.0,out,115.0
745.0,,,2.0,,,,,,10.0,,out,115.0
746.0,,,1.0,,,,,,2.0,,out,115.0
748.0,,,,,,,,,1.0,,out,115.0
758.0,,,1.0,,,3.0,,,2.0,,out,115.0
759.0,,,,,,2.0,1.0,,1.0,,out,115.0
760.0,,,,,,4.0,,,1.0,,out,115.0
761.0,,,1.0,,,16.0,,,7.0,,out,115.0
762.0,1.0,2.0,4.0,,,1.0,,,15.0,,out,115.0
763.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,,19.0,2.0,out,115.0
764.0,5.0,5.0,26.0,5.0,8.0,12.0,33.0,18.0,32.0,8.0,aoi_13,12.0
764.0,5.0,5.0,26.0,5.0,8.0,12.0,33.0,18.0,32.0,8.0,out,115.0
765.0,13.0,12.0,30.0,12.0,48.0,6.0,26.0,13.0,72.0,8.0,aoi_13,12.0
766.0,9.0,3.0,26.0,18.0,33.0,7.0,28.0,38.0,64.0,4.0,aoi_13,12.0
766.0,9.0,3.0,26.0,18.0,33.0,7.0,28.0,38.0,64.0,4.0,out,115.0
767.0,10.0,6.0,15.0,20.0,40.0,4.0,14.0,17.0,74.0,9.0,out,115.0
768.0,7.0,10.0,29.0,8.0,53.0,5.0,17.0,20.0,60.0,4.0,out,115.0
769.0,4.0,8.0,17.0,2.0,36.0,7.0,4.0,9.0,45.0,5.0,out,115.0
770.0,11.0,8.0,14.0,12.0,15.0,18.0,32.0,22.0,46.0,5.0,out,115.0
770.0,11.0,8.0,14.0,12.0,15.0,18.0,32.0,22.0,46.0,5.0,aoi_48,47.0
771.0,12.0,18.0,19.0,10.0,22.0,15.0,32.0,23.0,52.0,3.0,aoi_48,47.0
771.0,12.0,18.0,19.0,10.0,22.0,15.0,32.0,23.0,52.0,3.0,out,115.0
772.0,9.0,15.0,66.0,10.0,12.0,14.0,39.0,26.0,47.0,3.0,out,115.0
772.0,9.0,15.0,66.0,10.0,12.0,14.0,39.0,26.0,47.0,3.0,aoi_48,47.0
773.0,7.0,25.0,37.0,5.0,30.0,11.0,30.0,26.0,70.0,8.0,out,115.0
773.0,7.0,25.0,37.0,5.0,30.0,11.0,30.0,26.0,70.0,8.0,aoi_48,47.0
774.0,15.0,8.0,26.0,14.0,12.0,10.0,36.0,31.0,65.0,7.0,out,115.0
774.0,15.0,8.0,26.0,14.0,12.0,10.0,36.0,31.0,65.0,7.0,aoi_40,39.0
774.0,15.0,8.0,26.0,14.0,12.0,10.0,36.0,31.0,65.0,7.0,aoi_39,38.0
775.0,15.0,4.0,20.0,6.0,31.0,19.0,9.0,22.0,74.0,14.0,out,115.0
776.0,11.0,9.0,20.0,9.0,32.0,7.0,11.0,18.0,50.0,12.0,out,115.0
776.0,11.0,9.0,20.0,9.0,32.0,7.0,11.0,18.0,50.0,12.0,aoi_29,28.0
777.0,13.0,5.0,42.0,7.0,16.0,2.0,25.0,29.0,43.0,11.0,out,115.0
777.0,13.0,5.0,42.0,7.0,16.0,2.0,25.0,29.0,43.0,11.0,aoi_29,28.0
778.0,25.0,,36.0,5.0,22.0,1.0,23.0,18.0,32.0,8.0,aoi_29,28.0
778.0,25.0,,36.0,5.0,22.0,1.0,23.0,18.0,32.0,8.0,out,115.0
779.0,12.0,5.0,24.0,17.0,38.0,10.0,15.0,19.0,57.0,10.0,aoi_29,28.0
779.0,12.0,5.0,24.0,17.0,38.0,10.0,15.0,19.0,57.0,10.0,out,115.0
780.0,5.0,2.0,13.0,13.0,94.0,7.0,2.0,4.0,30.0,14.0,out,115.0
780.0,5.0,2.0,13.0,13.0,94.0,7.0,2.0,4.0,30.0,14.0,aoi_31,30.0
781.0,1.0,,4.0,12.0,10.0,,4.0,1.0,5.0,4.0,out,115.0
782.0,,,,,1.0,4.0,,1.0,2.0,2.0,out,115.0
783.0,1.0,4.0,16.0,4.0,1.0,2.0,51.0,7.0,20.0,1.0,aoi_33,32.0
783.0,1.0,4.0,16.0,4.0,1.0,2.0,51.0,7.0,20.0,1.0,out,115.0
784.0,4.0,5.0,12.0,2.0,4.0,7.0,1.0,3.0,11.0,1.0,aoi_33,32.0
784.0,4.0,5.0,12.0,2.0,4.0,7.0,1.0,3.0,11.0,1.0,out,115.0
785.0,6.0,1.0,39.0,3.0,18.0,6.0,7.0,12.0,43.0,8.0,out,115.0
785.0,6.0,1.0,39.0,3.0,18.0,6.0,7.0,12.0,43.0,8.0,aoi_34,33.0
786.0,6.0,3.0,20.0,4.0,29.0,13.0,4.0,6.0,40.0,,out,115.0
786.0,6.0,3.0,20.0,4.0,29.0,13.0,4.0,6.0,40.0,,aoi_34,33.0
787.0,9.0,1.0,30.0,7.0,37.0,11.0,11.0,22.0,42.0,4.0,out,115.0
787.0,9.0,1.0,30.0,7.0,37.0,11.0,11.0,22.0,42.0,4.0,aoi_34,33.0
788.0,3.0,1.0,15.0,6.0,23.0,15.0,2.0,10.0,44.0,6.0,out,115.0
789.0,,3.0,13.0,1.0,27.0,7.0,5.0,2.0,31.0,4.0,out,115.0
790.0,8.0,1.0,13.0,3.0,15.0,1.0,1.0,2.0,37.0,,out,115.0
791.0,,,,1.0,,,,,1.0,,out,115.0
797.0,,,,,,1.0,,,,,out,115.0
798.0,,,1.0,,,,,,2.0,,out,115.0
800.0,,,,,,1.0,,,1.0,,out,115.0
801.0,1.0,2.0,1.0,3.0,,3.0,2.0,2.0,10.0,1.0,"aoi_11
",10.0
801.0,1.0,2.0,1.0,3.0,,3.0,2.0,2.0,10.0,1.0,out,115.0
802.0,2.0,2.0,14.0,1.0,4.0,5.0,5.0,7.0,14.0,,"aoi_11
",10.0
802.0,2.0,2.0,14.0,1.0,4.0,5.0,5.0,7.0,14.0,,out,115.0
803.0,3.0,1.0,4.0,,1.0,4.0,2.0,5.0,16.0,1.0,out,115.0
804.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,10.0,1.0,out,115.0
805.0,3.0,2.0,3.0,1.0,,,1.0,18.0,19.0,,out,115.0
806.0,7.0,4.0,17.0,3.0,22.0,3.0,33.0,16.0,23.0,1.0,aoi_13,12.0
806.0,7.0,4.0,17.0,3.0,22.0,3.0,33.0,16.0,23.0,1.0,out,115.0
807.0,11.0,8.0,22.0,9.0,39.0,5.0,21.0,12.0,49.0,9.0,out,115.0
807.0,11.0,8.0,22.0,9.0,39.0,5.0,21.0,12.0,49.0,9.0,aoi_13,12.0
807.0,11.0,8.0,22.0,9.0,39.0,5.0,21.0,12.0,49.0,9.0,aoi_12,11.0
808.0,6.0,1.0,15.0,7.0,16.0,8.0,21.0,15.0,47.0,2.0,out,115.0
808.0,6.0,1.0,15.0,7.0,16.0,8.0,21.0,15.0,47.0,2.0,aoi_13,12.0
809.0,6.0,3.0,16.0,8.0,26.0,9.0,12.0,5.0,45.0,5.0,out,115.0
810.0,11.0,10.0,29.0,12.0,35.0,7.0,24.0,31.0,76.0,13.0,out,115.0
810.0,11.0,10.0,29.0,12.0,35.0,7.0,24.0,31.0,76.0,13.0,aoi_50,49.0
811.0,6.0,5.0,28.0,15.0,29.0,4.0,15.0,15.0,58.0,7.0,out,115.0
812.0,14.0,16.0,26.0,6.0,14.0,12.0,62.0,36.0,61.0,3.0,aoi_48,47.0
812.0,14.0,16.0,26.0,6.0,14.0,12.0,62.0,36.0,61.0,3.0,out,115.0
813.0,8.0,21.0,41.0,7.0,19.0,12.0,59.0,25.0,43.0,5.0,aoi_48,47.0
814.0,25.0,22.0,64.0,24.0,23.0,12.0,90.0,116.0,76.0,3.0,aoi_48,47.0
814.0,25.0,22.0,64.0,24.0,23.0,12.0,90.0,116.0,76.0,3.0,out,115.0
815.0,5.0,15.0,25.0,8.0,12.0,22.0,18.0,23.0,54.0,9.0,out,115.0
815.0,5.0,15.0,25.0,8.0,12.0,22.0,18.0,23.0,54.0,9.0,aoi_40,39.0
815.0,5.0,15.0,25.0,8.0,12.0,22.0,18.0,23.0,54.0,9.0,aoi_48,47.0
816.0,13.0,10.0,25.0,11.0,17.0,9.0,15.0,19.0,69.0,11.0,aoi_40,39.0
816.0,13.0,10.0,25.0,11.0,17.0,9.0,15.0,19.0,69.0,11.0,out,115.0
817.0,16.0,7.0,28.0,9.0,16.0,2.0,10.0,20.0,63.0,12.0,out,115.0
817.0,16.0,7.0,28.0,9.0,16.0,2.0,10.0,20.0,63.0,12.0,aoi_29,28.0
818.0,9.0,4.0,39.0,7.0,17.0,8.0,12.0,16.0,46.0,4.0,aoi_41,40.0
818.0,9.0,4.0,39.0,7.0,17.0,8.0,12.0,16.0,46.0,4.0,out,115.0
818.0,9.0,4.0,39.0,7.0,17.0,8.0,12.0,16.0,46.0,4.0,aoi_29,28.0
819.0,20.0,4.0,42.0,10.0,73.0,11.0,21.0,21.0,59.0,6.0,out,115.0
819.0,20.0,4.0,42.0,10.0,73.0,11.0,21.0,21.0,59.0,6.0,aoi_29,28.0
820.0,14.0,1.0,19.0,7.0,35.0,5.0,10.0,17.0,34.0,12.0,out,115.0
820.0,14.0,1.0,19.0,7.0,35.0,5.0,10.0,17.0,34.0,12.0,aoi_29,28.0
821.0,9.0,2.0,21.0,4.0,68.0,3.0,5.0,3.0,34.0,8.0,out,115.0
822.0,7.0,8.0,22.0,14.0,47.0,11.0,5.0,14.0,23.0,8.0,out,115.0
823.0,1.0,5.0,9.0,37.0,,9.0,28.0,1.0,39.0,1.0,out,115.0
824.0,3.0,3.0,17.0,4.0,17.0,13.0,2.0,3.0,13.0,7.0,out,115.0
824.0,3.0,3.0,17.0,4.0,17.0,13.0,2.0,3.0,13.0,7.0,aoi_35,34.0
825.0,,1.0,2.0,,4.0,19.0,1.0,,11.0,4.0,aoi_35,34.0
825.0,,1.0,2.0,,4.0,19.0,1.0,,11.0,4.0,out,115.0
826.0,,2.0,14.0,4.0,19.0,7.0,3.0,3.0,16.0,11.0,out,115.0
827.0,4.0,,26.0,2.0,19.0,5.0,10.0,8.0,42.0,10.0,out,115.0
827.0,4.0,,26.0,2.0,19.0,5.0,10.0,8.0,42.0,10.0,aoi_34,33.0
828.0,13.0,8.0,45.0,17.0,30.0,17.0,42.0,35.0,61.0,6.0,aoi_34,33.0
828.0,13.0,8.0,45.0,17.0,30.0,17.0,42.0,35.0,61.0,6.0,out,115.0
829.0,12.0,9.0,38.0,11.0,31.0,15.0,24.0,50.0,53.0,4.0,aoi_34,33.0
