in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
166.0,4.0,3.0,33.0,11.0,62.0,5.0,18.0,25.0,61.0,5.0,out,115.0
166.0,4.0,3.0,33.0,11.0,62.0,5.0,18.0,25.0,61.0,5.0,aoi_17,16.0
167.0,6.0,2.0,13.0,6.0,24.0,8.0,4.0,11.0,30.0,6.0,out,115.0
168.0,,,,1.0,1.0,,,,2.0,,out,115.0
169.0,2.0,1.0,6.0,3.0,21.0,4.0,,3.0,15.0,,out,115.0
170.0,6.0,4.0,12.0,12.0,14.0,8.0,8.0,14.0,47.0,3.0,aoi_20,19.0
170.0,6.0,4.0,12.0,12.0,14.0,8.0,8.0,14.0,47.0,3.0,out,115.0
171.0,5.0,4.0,17.0,5.0,16.0,4.0,,11.0,30.0,2.0,aoi_20,19.0
171.0,5.0,4.0,17.0,5.0,16.0,4.0,,11.0,30.0,2.0,out,115.0
172.0,2.0,,13.0,,3.0,2.0,9.0,2.0,19.0,4.0,out,115.0
173.0,2.0,,17.0,,1.0,,82.0,2.0,5.0,1.0,out,115.0
174.0,,,6.0,1.0,2.0,13.0,1.0,1.0,4.0,2.0,out,115.0
175.0,2.0,,11.0,1.0,4.0,9.0,1.0,1.0,7.0,1.0,out,115.0
176.0,,,,,,1.0,,,,,out,115.0
183.0,,,1.0,,,,,,,,out,115.0
185.0,,,,,,1.0,,,,,out,115.0
186.0,,,,,,2.0,,,7.0,,out,115.0
187.0,,,,,,1.0,,,1.0,,out,115.0
188.0,,,,,,2.0,,,3.0,1.0,out,115.0
189.0,2.0,2.0,5.0,,2.0,2.0,,11.0,16.0,1.0,out,115.0
190.0,,,5.0,2.0,6.0,1.0,3.0,7.0,10.0,2.0,out,115.0
191.0,2.0,,3.0,,1.0,,1.0,4.0,5.0,,out,115.0
192.0,4.0,1.0,1.0,,32.0,4.0,1.0,4.0,8.0,,out,115.0
193.0,2.0,,5.0,,2.0,15.0,1.0,3.0,4.0,1.0,out,115.0
194.0,10.0,2.0,20.0,1.0,44.0,8.0,12.0,8.0,29.0,5.0,out,115.0
194.0,10.0,2.0,20.0,1.0,44.0,8.0,12.0,8.0,29.0,5.0,aoi_17,16.0
194.0,10.0,2.0,20.0,1.0,44.0,8.0,12.0,8.0,29.0,5.0,aoi_18,17.0
195.0,4.0,2.0,13.0,5.0,9.0,,2.0,9.0,28.0,3.0,out,115.0
195.0,4.0,2.0,13.0,5.0,9.0,,2.0,9.0,28.0,3.0,aoi_17,16.0
196.0,1.0,,1.0,,1.0,,,,3.0,,out,115.0
197.0,,2.0,12.0,2.0,,4.0,2.0,4.0,9.0,,out,115.0
198.0,3.0,2.0,2.0,,21.0,10.0,,1.0,17.0,4.0,out,115.0
199.0,2.0,1.0,15.0,5.0,27.0,11.0,11.0,18.0,44.0,4.0,out,115.0
199.0,2.0,1.0,15.0,5.0,27.0,11.0,11.0,18.0,44.0,4.0,aoi_20,19.0
200.0,5.0,3.0,22.0,4.0,19.0,11.0,32.0,17.0,38.0,2.0,out,115.0
200.0,5.0,3.0,22.0,4.0,19.0,11.0,32.0,17.0,38.0,2.0,aoi_20,19.0
201.0,,,2.0,,,2.0,,,,1.0,out,115.0
202.0,,,1.0,,3.0,,,,3.0,,out,115.0
203.0,,1.0,1.0,,4.0,6.0,,,3.0,2.0,out,115.0
204.0,4.0,1.0,8.0,6.0,12.0,4.0,4.0,19.0,17.0,8.0,out,115.0
205.0,4.0,,14.0,5.0,14.0,5.0,10.0,33.0,10.0,1.0,out,115.0
219.0,1.0,,,,5.0,4.0,,,1.0,,out,115.0
220.0,,,3.0,1.0,2.0,3.0,,2.0,2.0,,out,115.0
221.0,1.0,1.0,2.0,,,8.0,,,1.0,,out,115.0
222.0,3.0,4.0,1.0,2.0,8.0,4.0,2.0,3.0,26.0,1.0,out,115.0
223.0,,,1.0,,,1.0,,,2.0,,out,115.0
224.0,2.0,1.0,5.0,,5.0,1.0,,4.0,4.0,1.0,out,115.0
225.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,7.0,,out,115.0
226.0,4.0,2.0,5.0,,7.0,4.0,,7.0,6.0,1.0,out,115.0
227.0,1.0,,1.0,,,5.0,,,,,out,115.0
228.0,,,,1.0,19.0,3.0,1.0,1.0,3.0,,out,115.0
229.0,5.0,,17.0,4.0,50.0,9.0,9.0,15.0,37.0,3.0,out,115.0
230.0,9.0,6.0,17.0,16.0,17.0,2.0,13.0,17.0,45.0,3.0,out,115.0
230.0,9.0,6.0,17.0,16.0,17.0,2.0,13.0,17.0,45.0,3.0,aoi_21,20.0
231.0,3.0,1.0,5.0,2.0,6.0,1.0,2.0,4.0,12.0,2.0,out,115.0
231.0,3.0,1.0,5.0,2.0,6.0,1.0,2.0,4.0,12.0,2.0,aoi_21,20.0
232.0,1.0,3.0,12.0,,4.0,3.0,9.0,3.0,10.0,,out,115.0
232.0,1.0,3.0,12.0,,4.0,3.0,9.0,3.0,10.0,,aoi_21,20.0
233.0,6.0,1.0,8.0,2.0,20.0,3.0,6.0,7.0,18.0,,out,115.0
234.0,7.0,7.0,15.0,2.0,42.0,6.0,7.0,12.0,34.0,4.0,out,115.0
234.0,7.0,7.0,15.0,2.0,42.0,6.0,7.0,12.0,34.0,4.0,aoi_20,19.0
235.0,13.0,6.0,13.0,18.0,34.0,11.0,49.0,22.0,45.0,3.0,out,115.0
235.0,13.0,6.0,13.0,18.0,34.0,11.0,49.0,22.0,45.0,3.0,aoi_20,19.0
236.0,1.0,2.0,10.0,2.0,15.0,9.0,1.0,10.0,19.0,1.0,out,115.0
236.0,1.0,2.0,10.0,2.0,15.0,9.0,1.0,10.0,19.0,1.0,aoi_20,19.0
237.0,,,,,4.0,1.0,,1.0,2.0,,out,115.0
239.0,,1.0,3.0,,4.0,4.0,,,7.0,3.0,out,115.0
240.0,2.0,1.0,5.0,1.0,16.0,23.0,,4.0,5.0,3.0,out,115.0
241.0,,,,1.0,6.0,2.0,,,,2.0,out,115.0
259.0,,,,,,,,,,1.0,out,115.0
262.0,,,,,,1.0,,,,,out,115.0
263.0,4.0,2.0,6.0,,6.0,4.0,,6.0,10.0,,out,115.0
264.0,2.0,1.0,,,4.0,4.0,,5.0,7.0,,out,115.0
265.0,4.0,1.0,7.0,,2.0,3.0,1.0,2.0,8.0,1.0,out,115.0
266.0,,,1.0,1.0,,1.0,,1.0,3.0,,out,115.0
267.0,,,1.0,,,,,,,,out,115.0
268.0,2.0,,1.0,1.0,2.0,1.0,,3.0,12.0,1.0,out,115.0
269.0,13.0,5.0,24.0,7.0,35.0,4.0,40.0,36.0,68.0,4.0,out,115.0
269.0,13.0,5.0,24.0,7.0,35.0,4.0,40.0,36.0,68.0,4.0,aoi_16,15.0
270.0,2.0,1.0,25.0,2.0,13.0,2.0,,2.0,21.0,3.0,aoi_16,15.0
270.0,2.0,1.0,25.0,2.0,13.0,2.0,,2.0,21.0,3.0,out,115.0
271.0,2.0,2.0,14.0,11.0,64.0,9.0,6.0,11.0,42.0,6.0,out,115.0
271.0,2.0,2.0,14.0,11.0,64.0,9.0,6.0,11.0,42.0,6.0,aoi_22,21.0
272.0,11.0,,17.0,2.0,44.0,7.0,16.0,32.0,54.0,2.0,out,115.0
272.0,11.0,,17.0,2.0,44.0,7.0,16.0,32.0,54.0,2.0,aoi_22,21.0
272.0,11.0,,17.0,2.0,44.0,7.0,16.0,32.0,54.0,2.0,aoi_21,20.0
273.0,11.0,3.0,22.0,8.0,51.0,12.0,27.0,73.0,59.0,2.0,aoi_21,20.0
273.0,11.0,3.0,22.0,8.0,51.0,12.0,27.0,73.0,59.0,2.0,out,115.0
274.0,10.0,8.0,18.0,22.0,35.0,5.0,94.0,19.0,71.0,7.0,aoi_21,20.0
274.0,10.0,8.0,18.0,22.0,35.0,5.0,94.0,19.0,71.0,7.0,out,115.0
275.0,16.0,15.0,20.0,18.0,31.0,10.0,58.0,23.0,78.0,17.0,aoi_21,20.0
275.0,16.0,15.0,20.0,18.0,31.0,10.0,58.0,23.0,78.0,17.0,out,115.0
276.0,8.0,8.0,35.0,10.0,22.0,4.0,55.0,18.0,46.0,7.0,aoi_21,20.0
276.0,8.0,8.0,35.0,10.0,22.0,4.0,55.0,18.0,46.0,7.0,out,115.0
277.0,7.0,5.0,30.0,8.0,45.0,13.0,25.0,25.0,78.0,7.0,aoi_20,19.0
277.0,7.0,5.0,30.0,8.0,45.0,13.0,25.0,25.0,78.0,7.0,out,115.0
277.0,7.0,5.0,30.0,8.0,45.0,13.0,25.0,25.0,78.0,7.0,aoi_21,20.0
278.0,7.0,8.0,29.0,8.0,50.0,10.0,24.0,29.0,69.0,7.0,aoi_20,19.0
278.0,7.0,8.0,29.0,8.0,50.0,10.0,24.0,29.0,69.0,7.0,out,115.0
279.0,4.0,3.0,9.0,3.0,52.0,12.0,10.0,16.0,44.0,5.0,out,115.0
279.0,4.0,3.0,9.0,3.0,52.0,12.0,10.0,16.0,44.0,5.0,aoi_20,19.0
280.0,5.0,1.0,15.0,5.0,78.0,7.0,10.0,17.0,37.0,6.0,out,115.0
296.0,,,1.0,,,,,,,,out,115.0
308.0,1.0,,,,,,,,,,out,115.0
309.0,1.0,,1.0,,2.0,,,1.0,,,out,115.0
